,count,mean,std,min,25%,50%,75%,max
Category 1,5456.0,1.4557203079178886,0.8276044709006777,0.0,0.92,1.34,1.81,5.0
Category 2,5456.0,2.3197067448680353,1.4214376045304262,0.0,1.36,1.9049999999999998,2.6825,5.0
Category 3,5456.0,2.4893310117302057,1.2478154592661732,0.0,1.54,2.06,2.74,5.0
Category 4,5456.0,2.7968859970674487,1.3091585722844719,0.83,1.73,2.46,4.092499999999999,5.0
Category 5,5456.0,2.958940615835777,1.339056460617769,1.12,1.77,2.67,4.3125,5.0
Category 6,5456.0,2.8934897360703813,1.282400387008119,1.11,1.79,2.68,3.84,5.0
Category 7,5456.0,3.3513947947214073,1.4134923295329291,1.12,1.93,3.23,5.0,5.0
Category 8,5456.0,2.5407954545454543,1.1113908799079968,0.86,1.62,2.17,3.19,5.0
Category 9,5456.0,3.1260190615835772,1.356801999285251,0.84,1.8,2.8,5.0,5.0
Category 10,5456.0,2.8327291055718473,1.3076646267673648,0.81,1.64,2.68,3.53,5.0
Category 11,5456.0,2.5496041055718472,1.3820739834940647,0.0,1.58,2.0,3.22,5.0
Category 12,5456.0,2.077958211143695,1.2494108349006054,0.0,1.29,1.69,2.2824999999999998,5.0
Category 13,5456.0,2.1255113636363636,1.4065419871943703,0.77,1.19,1.61,2.36,5.0
Category 14,5456.0,2.1908614369501467,1.57668618081905,0.76,1.03,1.49,2.74,5.0
Category 15,5456.0,2.2065725806451617,1.7159606559930898,0.0,0.86,1.33,4.44,5.0
Category 16,5456.0,1.192800586510264,1.1070045466790663,0.0,0.69,0.8,1.16,5.0
Category 17,5456.0,0.9492027126099707,0.9735360281623526,0.0,0.58,0.74,0.91,5.0
Category 18,5456.0,0.8224138563049853,0.9479111397083694,0.0,0.53,0.69,0.84,5.0
Category 19,5456.0,0.9698112170087977,1.2039715446781867,0.0,0.52,0.69,0.86,5.0
Category 20,5456.0,1.0000714809384166,1.1938910859993375,0.0,0.54,0.69,0.86,5.0
Category 21,5456.0,0.9658376099706746,0.9298532622399828,0.0,0.57,0.76,1.0,5.0
Category 22,5456.0,1.7505370234604105,1.5987342453526454,0.0,0.74,1.03,2.07,5.0
Category 23,5456.0,1.5314534457478006,1.3168888685994364,0.0,0.79,1.07,1.56,5.0
Category 24,5456.0,1.560469208211144,1.1718395293133816,0.0,0.88,1.29,1.66,5.0
Unnamed: 25,5456.0,0.0006634897360703813,0.03765733427115884,0.0,0.0,0.0,0.0,2.58
