Execucao,Fitness_Score,F1_Score
1,1.4064,1.0000
2,1.4064,1.0000
3,1.4064,1.0000
4,1.4064,1.0000
5,1.4064,1.0000
6,1.4064,1.0000
7,1.4064,1.0000
8,1.4064,1.0000
9,1.4064,1.0000
10,1.4064,1.0000
11,1.4064,1.0000
12,1.4064,1.0000
13,1.4064,1.0000
14,1.4064,1.0000
15,1.4064,1.0000
16,1.4064,1.0000
17,1.4064,1.0000
18,1.4064,1.0000
19,1.4064,1.0000
20,1.4064,1.0000
21,1.4064,1.0000
22,1.4064,1.0000
23,1.4064,1.0000
24,1.4064,1.0000
25,1.4064,1.0000
26,1.4064,1.0000
27,1.4064,1.0000
28,1.4064,1.0000
29,1.4064,1.0000
30,1.4064,1.0000
